launcher,date,payload,payload_detail,orbit,location,status
Falcon 9 Block 5,2025-01-04T01:27:00Z,Thuraya 4-NGS,"Thuraya 4-NGS is a communication satellite being built by Airbus Defense and Space for the UAE based Yahsat. Based on the all-electric Airbus Eurostar-Neo Platform, Thuraya 4-NGS will incorporate a large 12-meter L-band antenna and a payload with on-board processing providing advanced routing flexibility of up to 3200 channels with dynamic power allocation over a large number of spot beams.",Geostationary Transfer Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Long March 3B/E,2025-01-06T20:00:00Z,Shijian 25,Technological demonstration mission for spacecraft refueling and satellite life extension services.,Geostationary Transfer Orbit,"LC-3, Xichang Satellite Launch Center, China",Success
Falcon 9 Block 5,2025-01-06T20:43:00Z,Starlink Group 6-71,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-01-08T15:27:00Z,Starlink Group 12-11,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"LC-39A, Kennedy Space Center, Florida, USA",Success
Falcon 9 Block 5,2025-01-10T03:53:00Z,NROL-153,Seventh batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,Low Earth Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-01-10T19:11:00Z,Starlink Group 12-12,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Jielong 3,2025-01-13T03:00:00Z,10 x CentiSpace-1,Chinese commercial small satellites by Beijing-based company Future Navigation for providing GNSS augmentation signals services from LEO. They are part of a planned 160 satellites constellation.,Low Earth Orbit,"Haiyang Spaceport, China Coastal Waters",Success
Falcon 9 Block 5,2025-01-13T16:47:00Z,Starlink Group 12-4,SpaceX launch of a batch of Starlink v2-mini satellites for their second generation high-speed low earth orbit internet satellite constellation. Includes a mix of 13 Direct to Cell and 8 normal v2-mini satellites.,Low Earth Orbit,"SLC-40, Cape Canaveral SFS, Florida, USA",Success
Falcon 9 Block 5,2025-01-14T19:09:00Z,Transporter 12,"Transporter 12 is a dedicated rideshare mission by SpaceX. SpaceX’s SmallSat Rideshare Program provides small satellite operators with regularly scheduled, dedicated Falcon 9 rideshare missions to SSO for ESPA class payloads for as low as $300,000 per mission, which includes up to 50kg of payload mass.",Sun-Synchronous Orbit,"SLC-4E, Vandenberg SFB, California, USA",Success
Falcon 9 Block 5,2025-01-15T06:11:00Z,Blue Ghost Mission 1 & HAKUTO-R M2 “Resilience”,"Blue Ghost is a commercial lunar lander developed by Firefly Aerospace for NASA’s CLPS program. Blue Ghost is designed to bring up to 155kg of payload to the lunar surface. It will land at Mare Crisium in the Crisium Basin and is designed to last 14 days before freezing in the lunar night.HAKUTO-R is a multinational commercial lunar exploration program operated by ispace. It includes ispace's first two lunar missions, the second mission will perform a soft landing on the Moon and deployment of a rover developed by ispace in 2025. In addition to its studies on the moon's surface, the rover is expected to collect lunar regolith as part of a contract with NASA signed in 2020 in which companies will collect materials on the moon and then transfer ownership """"in situ"""" to the agency.",Trans Lunar Injection,"LC-39A, Kennedy Space Center, Florida, USA",Success
